config_id,session_window,level_type,wick_to_body_min,PF_train_net_0_2,PF_val_net_0_2,N_train,N_val,DD_val,status
cfg_v46_0138,08:00-11:00,NY_PRE_HL,2.2,0.97,0.98,142,84,2.48,DISCARDED
cfg_v46_0139,08:00-11:00,ASIA_HL,3.4,0.59,0.54,126,92,4.62,DISCARDED
cfg_v46_0140,08:00-11:00,NY_PRE_HL,3.4,0.91,0.91,128,92,4.37,DISCARDED
cfg_v46_0141,08:00-11:00,NY_PRE_HL,1.8,1.06,1.00,91,68,6.97,DISCARDED
cfg_v46_0142,08:00-11:00,NY_PRE_HL,3.4,0.91,0.94,132,93,6.26,DISCARDED
cfg_v46_0143,08:00-11:00,ASIA_HL,3.0,0.69,0.60,127,50,2.85,DISCARDED
cfg_v46_0144,08:00-11:00,NY_PRE_HL,3.4,0.87,0.75,110,82,7.83,DISCARDED
cfg_v46_0145,08:00-11:00,NY_PRE_HL,1.8,0.90,0.77,134,62,6.68,DISCARDED
cfg_v46_0146,08:00-11:00,NY_PRE_HL,3.4,0.95,0.82,86,79,6.81,DISCARDED
cfg_v46_0147,08:00-11:00,ASIA_HL,3.0,0.86,0.85,112,86,7.27,DISCARDED
cfg_v46_0148,08:00-11:00,NY_PRE_HL,3.4,1.05,1.01,119,56,4.30,DISCARDED
cfg_v46_0149,08:00-11:00,ASIA_HL,3.4,0.96,0.99,93,64,7.43,DISCARDED
cfg_v46_0150,08:00-11:00,NY_PRE_HL,1.8,0.79,0.80,97,84,2.97,DISCARDED
cfg_v46_0151,08:00-11:00,ASIA_HL,1.8,0.91,0.79,148,61,6.07,DISCARDED
cfg_v46_0152,08:00-11:00,ASIA_HL,2.6,0.80,0.79,118,84,3.20,DISCARDED
cfg_v46_0153,08:00-11:00,ASIA_HL,2.2,0.85,0.83,106,75,7.75,DISCARDED
cfg_v46_0154,08:00-11:00,NY_PRE_HL,2.2,1.06,1.02,141,89,2.82,DISCARDED
cfg_v46_0155,08:00-11:00,ASIA_HL,3.4,0.74,0.69,119,82,7.32,DISCARDED
cfg_v46_0156,08:00-11:00,NY_PRE_HL,3.4,0.96,0.83,146,82,4.92,DISCARDED
cfg_v46_0157,08:00-11:00,NY_PRE_HL,2.2,0.82,0.84,80,66,2.78,DISCARDED
cfg_v46_0158,08:00-11:00,NY_PRE_HL,3.4,1.15,0.98,91,58,4.90,DISCARDED
cfg_v46_0159,08:00-11:00,NY_PRE_HL,1.8,0.91,0.93,81,95,4.67,DISCARDED
cfg_v46_0160,08:00-11:00,NY_PRE_HL,3.4,1.04,1.08,89,86,4.11,DISCARDED
cfg_v46_0161,08:00-11:00,NY_PRE_HL,2.6,1.19,1.06,126,90,4.04,DISCARDED
cfg_v46_0162,08:00-11:00,NY_PRE_HL,3.4,0.97,0.84,132,53,6.45,DISCARDED
cfg_v46_0163,08:00-11:00,NY_PRE_HL,1.8,0.94,0.88,86,87,5.90,DISCARDED
cfg_v46_0164,08:00-11:00,ASIA_HL,3.4,1.18,1.10,124,95,7.81,DISCARDED
cfg_v46_0165,08:00-11:00,ASIA_HL,3.0,1.16,1.06,111,52,6.73,DISCARDED
cfg_v46_0166,08:00-11:00,NY_PRE_HL,3.0,0.87,0.84,122,61,6.79,DISCARDED
cfg_v46_0167,08:00-11:00,ASIA_HL,2.6,1.14,1.06,100,73,6.99,DISCARDED
cfg_v46_0168,08:00-11:00,ASIA_HL,2.6,0.71,0.70,101,57,3.22,DISCARDED
cfg_v46_0169,08:00-11:00,ASIA_HL,3.4,1.04,0.93,112,80,2.45,DISCARDED
cfg_v46_0170,08:00-11:00,NY_PRE_HL,1.8,1.19,1.08,101,81,5.40,DISCARDED
cfg_v46_0171,08:00-11:00,ASIA_HL,2.6,1.02,1.06,126,60,5.77,DISCARDED
cfg_v46_0172,08:00-11:00,NY_PRE_HL,2.2,0.82,0.74,106,68,5.98,DISCARDED
cfg_v46_0173,08:00-11:00,NY_PRE_HL,3.4,0.82,0.84,130,55,5.47,DISCARDED
cfg_v46_0174,08:00-11:00,NY_PRE_HL,2.2,0.95,0.94,86,87,2.21,DISCARDED
cfg_v46_0175,08:00-11:00,ASIA_HL,2.2,0.82,0.70,94,67,2.39,DISCARDED
cfg_v46_0176,08:00-11:00,ASIA_HL,2.2,1.06,1.06,100,95,2.30,DISCARDED
cfg_v46_0177,08:00-11:00,ASIA_HL,1.8,0.95,0.87,139,87,2.67,DISCARDED
cfg_v46_0178,08:00-11:00,NY_PRE_HL,2.2,0.98,0.94,105,89,7.07,DISCARDED
cfg_v46_0179,08:00-11:00,ASIA_HL,3.0,0.99,1.02,136,71,6.79,DISCARDED
cfg_v46_0180,08:00-11:00,ASIA_HL,3.0,0.86,0.90,81,73,4.83,DISCARDED
cfg_v46_0181,08:00-11:00,ASIA_HL,3.4,1.06,0.96,109,96,5.12,DISCARDED
cfg_v46_0182,08:00-11:00,ASIA_HL,2.2,0.89,0.85,150,50,2.31,DISCARDED
cfg_v46_0183,08:00-11:00,NY_PRE_HL,2.2,1.02,0.87,144,97,5.72,DISCARDED
cfg_v46_0184,08:00-11:00,NY_PRE_HL,2.2,1.19,1.10,127,60,1.72,DISCARDED
cfg_v46_0185,08:00-11:00,ASIA_HL,2.6,0.68,0.61,136,88,7.70,DISCARDED
cfg_v46_0186,08:00-11:00,NY_PRE_HL,1.8,0.87,0.75,95,55,6.54,DISCARDED
cfg_v46_0187,08:00-11:00,ASIA_HL,2.6,0.79,0.77,85,60,7.76,DISCARDED
cfg_v46_0188,08:00-11:00,NY_PRE_HL,3.0,0.94,0.84,99,74,1.81,DISCARDED
cfg_v46_0189,08:00-11:00,ASIA_HL,3.4,0.84,0.78,143,75,3.55,DISCARDED
cfg_v46_0190,08:00-11:00,ASIA_HL,3.0,1.29,1.29,93,67,5.67,TOP_CANDIDATE
cfg_v46_0191,08:00-11:00,ASIA_HL,2.6,0.94,0.83,126,83,2.69,DISCARDED
cfg_v46_0192,08:00-11:00,NY_PRE_HL,3.0,0.92,0.90,133,68,4.42,DISCARDED
cfg_v46_0193,08:00-11:00,NY_PRE_HL,3.4,0.94,0.88,123,61,3.54,DISCARDED
cfg_v46_0194,08:00-11:00,NY_PRE_HL,3.4,0.86,0.74,90,85,2.92,DISCARDED
cfg_v46_0195,08:00-11:00,NY_PRE_HL,2.2,0.70,0.67,92,68,6.15,DISCARDED
cfg_v46_0196,08:00-11:00,ASIA_HL,3.4,0.67,0.62,146,60,3.94,DISCARDED
cfg_v46_0197,08:00-11:00,NY_PRE_HL,2.2,0.99,1.01,83,72,3.41,DISCARDED
cfg_v46_0198,08:00-11:00,NY_PRE_HL,2.6,1.00,1.05,139,64,2.24,DISCARDED
cfg_v46_0199,08:00-11:00,ASIA_HL,3.4,0.94,0.87,111,69,7.76,DISCARDED
cfg_v46_0200,08:00-11:00,ASIA_HL,3.0,0.97,0.93,123,90,7.38,DISCARDED
cfg_v46_0201,08:00-11:00,ASIA_HL,3.4,0.88,0.77,146,60,3.12,DISCARDED
cfg_v46_0202,08:00-11:00,ASIA_HL,3.0,0.78,0.80,85,54,6.94,DISCARDED
cfg_v46_0203,08:00-11:00,NY_PRE_HL,3.0,0.64,0.58,124,59,4.61,DISCARDED
cfg_v46_0204,08:00-11:00,NY_PRE_HL,3.4,0.98,0.90,149,72,7.19,DISCARDED
cfg_v46_0205,08:00-11:00,NY_PRE_HL,3.0,1.00,0.92,144,53,2.60,DISCARDED
cfg_v46_0206,08:00-11:00,NY_PRE_HL,2.2,0.81,0.74,114,96,6.26,DISCARDED
cfg_v46_0207,08:00-11:00,ASIA_HL,2.6,1.18,1.06,137,98,1.75,DISCARDED
cfg_v46_0208,08:00-11:00,NY_PRE_HL,3.4,1.07,0.96,115,69,6.54,DISCARDED
cfg_v46_0209,08:00-11:00,ASIA_HL,1.8,1.08,0.98,134,79,4.19,DISCARDED
cfg_v46_0210,08:00-11:00,NY_PRE_HL,1.8,0.67,0.64,112,76,2.96,DISCARDED
cfg_v46_0211,08:00-11:00,NY_PRE_HL,3.0,0.89,0.76,111,58,7.75,DISCARDED
cfg_v46_0212,08:00-11:00,NY_PRE_HL,2.6,1.03,0.93,84,58,6.99,DISCARDED
cfg_v46_0213,08:00-11:00,ASIA_HL,1.8,0.99,0.97,90,52,2.37,DISCARDED
cfg_v46_0214,08:00-11:00,ASIA_HL,3.4,0.93,0.95,97,77,1.63,DISCARDED
cfg_v46_0215,08:00-11:00,ASIA_HL,2.6,0.99,0.97,128,64,4.60,DISCARDED
cfg_v46_0216,08:00-11:00,ASIA_HL,3.0,0.96,1.00,87,79,5.60,DISCARDED
cfg_v46_0217,08:00-11:00,ASIA_HL,3.4,1.08,1.02,116,70,2.86,DISCARDED
cfg_v46_0218,08:00-11:00,ASIA_HL,3.0,0.79,0.73,106,85,6.35,DISCARDED
cfg_v46_0219,08:00-11:00,NY_PRE_HL,1.8,0.88,0.89,139,65,7.54,DISCARDED
cfg_v46_0220,08:00-11:00,ASIA_HL,3.0,0.75,0.70,133,69,5.08,DISCARDED
cfg_v46_0221,08:00-11:00,NY_PRE_HL,3.0,0.70,0.67,96,100,1.72,DISCARDED
cfg_v46_0222,08:00-11:00,NY_PRE_HL,2.6,0.90,0.91,142,50,5.04,DISCARDED
cfg_v46_0223,08:00-11:00,NY_PRE_HL,2.6,0.76,0.79,135,87,6.90,DISCARDED
cfg_v46_0224,08:00-11:00,NY_PRE_HL,3.0,1.03,0.91,132,62,5.77,DISCARDED
cfg_v46_0225,08:00-11:00,ASIA_HL,1.8,1.01,0.88,83,90,3.23,DISCARDED
cfg_v46_0226,08:00-11:00,ASIA_HL,3.4,1.17,1.11,129,69,5.19,DISCARDED
cfg_v46_0227,08:00-11:00,ASIA_HL,3.4,1.08,1.05,126,66,6.86,DISCARDED
cfg_v46_0228,08:00-11:00,ASIA_HL,3.0,0.87,0.89,139,81,7.08,DISCARDED
cfg_v46_0229,08:00-11:00,ASIA_HL,3.0,0.92,0.89,120,60,6.56,DISCARDED
cfg_v46_0230,08:00-11:00,ASIA_HL,2.6,0.90,0.77,89,90,6.58,DISCARDED
cfg_v46_0231,08:00-11:00,ASIA_HL,3.4,0.98,1.02,110,95,6.99,DISCARDED
cfg_v46_0232,08:00-11:00,ASIA_HL,1.8,1.00,1.01,109,75,3.88,DISCARDED
cfg_v46_0233,08:00-11:00,ASIA_HL,3.0,0.63,0.56,139,51,4.61,DISCARDED
cfg_v46_0234,08:00-11:00,NY_PRE_HL,3.0,0.84,0.81,116,97,6.95,DISCARDED
cfg_v46_0235,08:00-11:00,NY_PRE_HL,3.4,0.82,0.71,148,94,6.74,DISCARDED
cfg_v46_0236,08:00-11:00,NY_PRE_HL,2.2,0.90,0.80,139,91,6.59,DISCARDED
cfg_v46_0237,08:00-11:00,NY_PRE_HL,1.8,0.89,0.83,84,61,3.34,DISCARDED
cfg_v46_0238,08:00-11:00,ASIA_HL,3.4,0.97,1.01,150,53,1.67,DISCARDED
cfg_v46_0239,08:00-11:00,NY_PRE_HL,2.6,1.00,0.88,136,98,1.74,DISCARDED
cfg_v46_0240,08:00-11:00,ASIA_HL,3.0,0.96,0.89,102,56,4.29,DISCARDED
cfg_v46_0241,08:00-11:00,ASIA_HL,1.8,0.83,0.76,107,67,2.03,DISCARDED
cfg_v46_0242,08:00-11:00,NY_PRE_HL,3.0,0.76,0.77,104,60,5.43,DISCARDED
cfg_v46_0243,08:00-11:00,NY_PRE_HL,2.2,0.97,0.86,141,91,2.64,DISCARDED
cfg_v46_0244,08:00-11:00,NY_PRE_HL,3.4,1.00,1.02,147,53,7.87,DISCARDED
cfg_v46_0245,08:00-11:00,ASIA_HL,2.6,0.82,0.84,92,76,5.15,DISCARDED
cfg_v46_0246,08:00-11:00,ASIA_HL,3.4,0.82,0.80,146,56,5.07,DISCARDED
cfg_v46_0247,08:00-11:00,NY_PRE_HL,2.6,1.09,1.04,128,80,2.45,DISCARDED
cfg_v46_0248,08:00-11:00,ASIA_HL,2.2,0.94,0.98,89,98,4.79,DISCARDED
cfg_v46_0249,08:00-11:00,NY_PRE_HL,3.0,0.97,0.89,131,63,6.79,DISCARDED
cfg_v46_0250,08:00-11:00,NY_PRE_HL,1.8,0.95,0.81,144,97,5.99,DISCARDED
cfg_v46_0251,08:00-11:00,NY_PRE_HL,2.6,0.69,0.69,86,98,7.87,DISCARDED
cfg_v46_0252,08:00-11:00,NY_PRE_HL,3.4,0.78,0.68,104,85,2.27,DISCARDED
cfg_v46_0253,08:00-11:00,ASIA_HL,3.4,0.84,0.78,132,85,1.60,DISCARDED
cfg_v46_0254,08:00-11:00,NY_PRE_HL,2.6,0.91,0.81,103,51,2.94,DISCARDED
cfg_v46_0255,08:00-11:00,NY_PRE_HL,3.4,0.84,0.80,126,67,3.50,DISCARDED
cfg_v46_0256,08:00-11:00,ASIA_HL,1.8,1.07,0.97,91,83,3.38,DISCARDED
