"item","current_path","proposed_path","action","category","risk","requires_owner_approval","requires_tests","notes"
"bootstrap.ini","bootstrap.ini","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/bootstrap.ini","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"BOT_V2_DAYTIME_LAB","BOT_V2_DAYTIME_LAB","03_RESEARCH_LAB/legacy_root_research/BOT_V2_DAYTIME_LAB","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"BOT_V2_profile_bootstrap_hack.py","BOT_V2_profile_bootstrap_hack.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/BOT_V2_profile_bootstrap_hack.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"bypass_zip_output.json","bypass_zip_output.json","07_BACKUPS/legacy_zip_workflow/bypass_zip_output.json","ARCHIVE_TO_07_BACKUPS","legacy_zip_workflow","LOW","YES","rg old path refs; no zip workflow active check","Legacy ZIP workflow material; archive out of active root."
"CANONICAL_EXECUTION_CONTRACT.md","CANONICAL_EXECUTION_CONTRACT.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/CANONICAL_EXECUTION_CONTRACT.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"CHANGELOG.md","CHANGELOG.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/CHANGELOG.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"CLOUD_WORKFLOW.md","CLOUD_WORKFLOW.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/CLOUD_WORKFLOW.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"COMPARABILITY_2020_2025_NOTE.md","COMPARABILITY_2020_2025_NOTE.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/COMPARABILITY_2020_2025_NOTE.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"CPI_PPI_INSTRUCTIONS.md","CPI_PPI_INSTRUCTIONS.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/CPI_PPI_INSTRUCTIONS.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"CPI_PPI_manual_fill_template.json","CPI_PPI_manual_fill_template.json","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/CPI_PPI_manual_fill_template.json","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"CPI_PPI_SOURCE_AUDIT.md","CPI_PPI_SOURCE_AUDIT.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/CPI_PPI_SOURCE_AUDIT.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"DATA MANUAL","DATA MANUAL","05_MARKET_DATA_VAULT/legacy_data/DATA MANUAL","NEEDS_OWNER_DECISION","market_data_like","HIGH","YES","data inventory only; no mutation; hash manifest; path ref audit","Data-like folder. Do not move until separate data-owner approval."
"data_usdjpy_2016_2019","data_usdjpy_2016_2019","05_MARKET_DATA_VAULT/legacy_data/data_usdjpy_2016_2019","NEEDS_OWNER_DECISION","market_data_like","HIGH","YES","data inventory only; no mutation; hash manifest; path ref audit","Data-like folder. Do not move until separate data-owner approval."
"data_usdjpy_2016_2021","data_usdjpy_2016_2021","05_MARKET_DATA_VAULT/legacy_data/data_usdjpy_2016_2021","NEEDS_OWNER_DECISION","market_data_like","HIGH","YES","data inventory only; no mutation; hash manifest; path ref audit","Data-like folder. Do not move until separate data-owner approval."
"data_usdjpy_2022_2025","data_usdjpy_2022_2025","05_MARKET_DATA_VAULT/legacy_data/data_usdjpy_2022_2025","NEEDS_OWNER_DECISION","market_data_like","HIGH","YES","data inventory only; no mutation; hash manifest; path ref audit","Data-like folder. Do not move until separate data-owner approval."
"debug_zip_identity_output.json","debug_zip_identity_output.json","07_BACKUPS/legacy_zip_workflow/debug_zip_identity_output.json","ARCHIVE_TO_07_BACKUPS","legacy_zip_workflow","LOW","YES","rg old path refs; no zip workflow active check","Legacy ZIP workflow material; archive out of active root."
"desktop_bypass_output.json","desktop_bypass_output.json","07_BACKUPS/legacy_zip_workflow/desktop_bypass_output.json","ARCHIVE_TO_07_BACKUPS","legacy_zip_workflow","LOW","YES","rg old path refs; no zip workflow active check","Legacy ZIP workflow material; archive out of active root."
"docs","docs","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/docs","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"ecb_stage2_checkpoints","ecb_stage2_checkpoints","03_RESEARCH_LAB/legacy_root_research/ecb_stage2_checkpoints","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"ESTRATEGIAS","ESTRATEGIAS","03_RESEARCH_LAB/legacy_strategy_sources/ESTRATEGIAS","NEEDS_OWNER_DECISION","strategy_sources","HIGH","YES","strategy path audit; import/path checks; no strategy execution","May include production/certified or legacy strategy surfaces. Needs owner classification before move."
"ESTRUCTURA_DEL_PROYECTO.md","ESTRUCTURA_DEL_PROYECTO.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/ESTRUCTURA_DEL_PROYECTO.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"external_scbi_research_harness","external_scbi_research_harness","03_RESEARCH_LAB/legacy_root_research/external_scbi_research_harness","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"force_visible_zip_output.json","force_visible_zip_output.json","07_BACKUPS/legacy_zip_workflow/force_visible_zip_output.json","ARCHIVE_TO_07_BACKUPS","legacy_zip_workflow","LOW","YES","rg old path refs; no zip workflow active check","Legacy ZIP workflow material; archive out of active root."
"git_operations.py","git_operations.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/git_operations.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"htf_ny_window_scbi_stage2_checkpoints","htf_ny_window_scbi_stage2_checkpoints","03_RESEARCH_LAB/legacy_root_research/htf_ny_window_scbi_stage2_checkpoints","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"INFRASTRUCTURE_STATUS_FINAL.md","INFRASTRUCTURE_STATUS_FINAL.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/INFRASTRUCTURE_STATUS_FINAL.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"institutional_research_candidate_lab","institutional_research_candidate_lab","03_RESEARCH_LAB/legacy_root_research/institutional_research_candidate_lab","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"inventory_check.py","inventory_check.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/inventory_check.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"LAB_STRATEGIES","LAB_STRATEGIES","03_RESEARCH_LAB/legacy_strategy_sources/LAB_STRATEGIES","NEEDS_OWNER_DECISION","strategy_sources","HIGH","YES","strategy path audit; import/path checks; no strategy execution","May include production/certified or legacy strategy surfaces. Needs owner classification before move."
"LEER_PARA_SUBIR_ZIP.txt","LEER_PARA_SUBIR_ZIP.txt","07_BACKUPS/legacy_zip_workflow/LEER_PARA_SUBIR_ZIP.txt","ARCHIVE_TO_07_BACKUPS","legacy_zip_workflow","LOW","YES","rg old path refs; no zip workflow active check","Legacy ZIP workflow material; archive out of active root."
"legacy","legacy","07_BACKUPS/legacy_archives/legacy","ARCHIVE_TO_07_BACKUPS","legacy_archive","MEDIUM","YES","directory inventory; rg old path refs","Historically significant legacy/archive material; preserve under backups."
"legacy_archive_2026","legacy_archive_2026","07_BACKUPS/legacy_archives/legacy_archive_2026","ARCHIVE_TO_07_BACKUPS","legacy_archive","MEDIUM","YES","directory inventory; rg old path refs","Historically significant legacy/archive material; preserve under backups."
"MANIPULANTE","MANIPULANTE","03_RESEARCH_LAB/legacy_strategy_sources/MANIPULANTE","NEEDS_OWNER_DECISION","strategy_sources","HIGH","YES","strategy path audit; import/path checks; no strategy execution","May include production/certified or legacy strategy surfaces. Needs owner classification before move."
"manual_trade_chartpacks","manual_trade_chartpacks","03_RESEARCH_LAB/legacy_root_research/manual_trade_chartpacks","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"micro_pilot_gate","micro_pilot_gate","03_RESEARCH_LAB/legacy_root_research/micro_pilot_gate","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"micro_pilot_protocol","micro_pilot_protocol","03_RESEARCH_LAB/legacy_root_research/micro_pilot_protocol","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"monitoring","monitoring","04_INFRASTRUCTURE_ENGINEERING/legacy_ops/monitoring","MOVE_TO_CANONICAL_FOLDER","infrastructure_ops_or_local_support","MEDIUM","YES","rg old path refs; tool entrypoint checks","Infrastructure/ops support surface; move only with compatibility check."
"mt5_demo_executor_lab","mt5_demo_executor_lab","04_INFRASTRUCTURE_ENGINEERING/legacy_ops/mt5_demo_executor_lab","MOVE_TO_CANONICAL_FOLDER","infrastructure_ops_or_local_support","MEDIUM","YES","rg old path refs; tool entrypoint checks","Infrastructure/ops support surface; move only with compatibility check."
"mt5_deployment_audit","mt5_deployment_audit","04_INFRASTRUCTURE_ENGINEERING/legacy_ops/mt5_deployment_audit","MOVE_TO_CANONICAL_FOLDER","infrastructure_ops_or_local_support","MEDIUM","YES","rg old path refs; tool entrypoint checks","Infrastructure/ops support surface; move only with compatibility check."
"news_impact_analysis.py","news_impact_analysis.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/news_impact_analysis.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"news_impact_analysis_v2.py","news_impact_analysis_v2.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/news_impact_analysis_v2.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"next_hypothesis_discovery_checkpoints","next_hypothesis_discovery_checkpoints","03_RESEARCH_LAB/legacy_root_research/next_hypothesis_discovery_checkpoints","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"OOS_REJECTION_PROTOCOL.md","OOS_REJECTION_PROTOCOL.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/OOS_REJECTION_PROTOCOL.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"ops_external","ops_external","04_INFRASTRUCTURE_ENGINEERING/legacy_ops/ops_external","MOVE_TO_CANONICAL_FOLDER","infrastructure_ops_or_local_support","MEDIUM","YES","rg old path refs; tool entrypoint checks","Infrastructure/ops support surface; move only with compatibility check."
"phase34_core_docs_audit.py","phase34_core_docs_audit.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase34_core_docs_audit.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase34_git_push.py","phase34_git_push.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase34_git_push.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase34_manipulante_shadow_sync.py","phase34_manipulante_shadow_sync.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase34_manipulante_shadow_sync.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase34_manipulante_validation.py","phase34_manipulante_validation.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase34_manipulante_validation.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase34_path_audit.py","phase34_path_audit.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase34_path_audit.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase34_preflight.py","phase34_preflight.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase34_preflight.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase34_python_path_audit.py","phase34_python_path_audit.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase34_python_path_audit.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase34_report_generator.py","phase34_report_generator.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase34_report_generator.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase34_update_master_docs.py","phase34_update_master_docs.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase34_update_master_docs.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase35_config_audit.py","phase35_config_audit.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase35_config_audit.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase35_mt5_safety.py","phase35_mt5_safety.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase35_mt5_safety.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase35_preflight.py","phase35_preflight.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase35_preflight.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase35_python_audit.py","phase35_python_audit.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase35_python_audit.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase35_repo_zip_audit.py","phase35_repo_zip_audit.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase35_repo_zip_audit.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase35_safety_gates.py","phase35_safety_gates.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase35_safety_gates.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase35_signal_sync.py","phase35_signal_sync.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase35_signal_sync.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase35_structure_audit.py","phase35_structure_audit.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase35_structure_audit.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase35_time_audit.py","phase35_time_audit.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase35_time_audit.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase35_update_master_docs.py","phase35_update_master_docs.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase35_update_master_docs.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"phase37e_run_mql5_calendar_script.py","phase37e_run_mql5_calendar_script.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/phase37e_run_mql5_calendar_script.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"preflight_check.py","preflight_check.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/preflight_check.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"PROJECT_ZONES_AND_BRANCHING_RULES.md","PROJECT_ZONES_AND_BRANCHING_RULES.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/PROJECT_ZONES_AND_BRANCHING_RULES.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"README.md","README.md","README.md","KEEP_ROOT_EXCEPTION","technical_root_metadata","LOW","YES","tooling install/docs path check","Common tooling/docs root convention; keep as hybrid exception unless owner chooses strict mode."
"real_htf_filter_ab_checkpoints","real_htf_filter_ab_checkpoints","03_RESEARCH_LAB/legacy_root_research/real_htf_filter_ab_checkpoints","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"real_readiness_gate","real_readiness_gate","04_INFRASTRUCTURE_ENGINEERING/legacy_ops/real_readiness_gate","MOVE_TO_CANONICAL_FOLDER","infrastructure_ops_or_local_support","MEDIUM","YES","rg old path refs; tool entrypoint checks","Infrastructure/ops support surface; move only with compatibility check."
"reports","reports","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/reports","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"requirements.txt","requirements.txt","requirements.txt","KEEP_ROOT_EXCEPTION","technical_root_metadata","LOW","YES","tooling install/docs path check","Common tooling/docs root convention; keep as hybrid exception unless owner chooses strict mode."
"requirements-vps-optional.txt","requirements-vps-optional.txt","requirements-vps-optional.txt","KEEP_ROOT_EXCEPTION","technical_root_metadata","LOW","YES","tooling install/docs path check","Common tooling/docs root convention; keep as hybrid exception unless owner chooses strict mode."
