config_id,level_type,session_window,wick_to_body_min,max_trades_per_day,entry_type,sl_model,target_model
V49_B3_0067,LONDON_HL,09:00-12:00,2.2,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0068,ASIA_HL,07:00-10:00,1.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0069,ASIA_HL,07:00-10:00,1.8,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0070,LONDON_HL,08:00-11:00,3.0,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0071,ASIA_HL,07:00-10:00,3.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0072,LONDON_HL,07:00-10:00,2.2,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0073,ASIA_HL,07:00-10:00,2.5,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0074,ASIA_HL,08:00-11:00,3.0,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0075,LONDON_HL,08:00-11:00,2.5,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0076,ASIA_HL,09:00-12:00,3.5,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0077,LONDON_HL,09:00-12:00,1.8,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0078,LONDON_HL,07:00-10:00,2.0,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0079,LONDON_HL,08:00-11:00,1.8,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0080,ASIA_HL,08:00-11:00,2.0,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0081,LONDON_HL,08:00-11:00,3.5,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0082,ASIA_HL,08:00-11:00,1.8,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0083,ASIA_HL,09:00-12:00,2.0,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0084,ASIA_HL,09:00-12:00,2.2,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0085,LONDON_HL,08:00-11:00,1.5,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0086,ASIA_HL,08:00-11:00,3.5,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0087,LONDON_HL,07:00-10:00,2.0,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0088,LONDON_HL,07:00-10:00,2.5,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0089,LONDON_HL,07:00-10:00,2.5,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0090,ASIA_HL,08:00-11:00,2.2,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0091,LONDON_HL,07:00-10:00,2.5,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0092,LONDON_HL,08:00-11:00,2.2,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0093,LONDON_HL,09:00-12:00,1.5,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0094,ASIA_HL,09:00-12:00,3.0,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0095,LONDON_HL,07:00-10:00,3.5,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0096,ASIA_HL,08:00-11:00,1.8,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0097,ASIA_HL,07:00-10:00,2.0,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0098,LONDON_HL,08:00-11:00,3.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0099,ASIA_HL,08:00-11:00,1.5,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0100,ASIA_HL,08:00-11:00,1.5,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
