"path","status_code","category","size_bytes","last_write_time","sha256_if_file","staged","touched_by_this_phase","classification","action"
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/MANUS/Análisis Comparativo_ Repositorio vs. Estándares Profesionales.md","??","KNOWLEDGE_INTAKE_20260518","2055","2026-05-14T10:58:40.0356890-03:00","b0d1ba7fa3f0b284170e5945273bec8fba43b962412411e29fc438e3d654e9af","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/MANUS/engine.py","??","KNOWLEDGE_INTAKE_20260518","43854","2026-05-14T10:58:51.8904651-03:00","7f73d1dc7bb4c1dfe96efac9670593dcd0026f7dc8e6434171be5105aa509123","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/MANUS/fia_risk_controls.pdf","??","KNOWLEDGE_INTAKE_20260518","374868","2026-05-14T10:58:51.9016834-03:00","acf403a653f958a86b782481c5d6fd1aff835d5e42cb70fb011b1f8351db30dd","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/MANUS/hiya31.medium.com_a-modular-architecture-for-systematic-quantitative-trading-systems-2a8d46463570.md","??","KNOWLEDGE_INTAKE_20260518","6737","2026-05-14T10:58:51.9062161-03:00","9e148db4ed9bf7f2d225f6eb49648201a81be4c9fa12ffb477c823c02286d76c","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/MANUS/Informe de Profesionalización en Trading Algorítmico.md","??","KNOWLEDGE_INTAKE_20260518","14774","2026-05-14T10:58:51.9132746-03:00","988499b3fd7e2c99b6a17b1c8a16df227cc0596d4a5a1c0c6f2db18bc74cd52a","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/MANUS/INFRASTRUCTURE_STATUS_FINAL.md","??","KNOWLEDGE_INTAKE_20260518","2352","2026-05-14T10:58:51.9209306-03:00","e2e33441ace2e98c94cfca1d2e2f3f82782eb23b5161bcb18e3eca0c51bd62a8","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/MANUS/Investigación de Estándares de Trading Profesional y Reglas de Prop Firms.md","??","KNOWLEDGE_INTAKE_20260518","1995","2026-05-14T10:58:51.9287845-03:00","e43dfa561cc6cab7a90537607ec074ced3e301230167d8c1fa1bf857647b32b0","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/MANUS/README.md","??","KNOWLEDGE_INTAKE_20260518","3776","2026-05-14T10:58:51.9353189-03:00","dbb5e1c3b3c81db3a9a74e48f62113f55fb1f5778f3acd181a5c6c3fbd8ecdbc","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/MANUS/STRATEGY_PROMOTION_POLICY.md","??","KNOWLEDGE_INTAKE_20260518","3508","2026-05-14T10:58:51.9430454-03:00","bdfe3c88d1595430037d242b6044b83ee615ea455281e3278d6cae197209ed77","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260516/claude_audit/CLAUDE_STRATEGY_INTAKE_AUDIT_REPORT.md"," M","W01_KNOWN_DIRTY","1966","2026-05-16T15:41:25.0226028-03:00","74354039e11a388a4ef755a40b856711766e59359d698346ed90fbc9ca4211c0","NO","NO","KNOWN_PREEXISTING_UNTOUCHED","Leave dirty artifact untouched; document only."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260516/claude_audit/EURUSD_HYPOTHESIS_BACKLOG_CLAUDE_AUDITED.csv"," M","W01_KNOWN_DIRTY","2717","2026-05-16T15:41:15.3874205-03:00","167b86475010d0dc7931dde22cdfa3e9719c1fff5fb41612d79d7a85e89991f0","NO","NO","KNOWN_PREEXISTING_UNTOUCHED","Leave dirty artifact untouched; document only."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260516/claude_audit/EURUSD_HYPOTHESIS_BACKLOG_CLAUDE_AUDITED.md"," M","W01_KNOWN_DIRTY","2943","2026-05-16T15:41:04.3413431-03:00","c73dea0aff698db687a92f1757ecf0b119aa9191d1d64a133d2c79d5f4af33e9","NO","NO","KNOWN_PREEXISTING_UNTOUCHED","Leave dirty artifact untouched; document only."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260516/claude_audit/EURUSD_REJECTION_AND_DEFERRED_LOG_CLAUDE.md"," M","W01_KNOWN_DIRTY","1523","2026-05-16T15:40:53.1866007-03:00","5a9d8810dd1d8878dd11f5bf5f14420ff89c71b082431aec0cef359cd805754a","NO","NO","KNOWN_PREEXISTING_UNTOUCHED","Leave dirty artifact untouched; document only."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260516/claude_audit/GEMINI_TO_CLAUDE_DELTA_REPORT.md"," M","W01_KNOWN_DIRTY","2619","2026-05-16T15:40:44.5902222-03:00","adeb82deedbba0a69b778d736ec7ab507c99f26f39462942a7fd8b5eeeed6f90","NO","NO","KNOWN_PREEXISTING_UNTOUCHED","Leave dirty artifact untouched; document only."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260516/claude_audit/NEXT_PROMPT_IMPLEMENT_CLAUDE_APPROVED_PRIORITY_A_SKELETONS.md"," M","W01_KNOWN_DIRTY","1980","2026-05-16T15:41:34.8894234-03:00","b004072e7343d0e08c1d6a9ac14924edf2e9dc76941dfa6a0a4134a66c2c3d7e","NO","NO","KNOWN_PREEXISTING_UNTOUCHED","Leave dirty artifact untouched; document only."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260516/hypothesis_backlog/EURUSD_HYPOTHESIS_BACKLOG_CLAUDE_AUDITED.csv","??","W01_KNOWN_DIRTY","4560","2026-05-16T15:35:25.7887568-03:00","93c6422d32c3c8836532bc8f9e5ec08e656e8407340a07ad2be2bb8a24a1d64d","NO","NO","KNOWN_PREEXISTING_UNTOUCHED","Leave dirty artifact untouched; document only."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260516/hypothesis_backlog/EURUSD_HYPOTHESIS_BACKLOG_CLAUDE_AUDITED.md","??","W01_KNOWN_DIRTY","10932","2026-05-16T15:34:56.1143396-03:00","e67250c198eb3b1d3c2713be5a48be40711d8c34db3c4e35987b0d7d48a53c38","NO","NO","KNOWN_PREEXISTING_UNTOUCHED","Leave dirty artifact untouched; document only."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260516/hypothesis_backlog/EURUSD_REJECTION_AND_DEFERRED_LOG_CLAUDE.md","??","W01_KNOWN_DIRTY","4892","2026-05-16T15:36:40.5395877-03:00","81e51914eb43e710e727baaf02e94bb8bd1b6885fb8f53baa1ed289ad70b3e11","NO","NO","KNOWN_PREEXISTING_UNTOUCHED","Leave dirty artifact untouched; document only."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260516/hypothesis_backlog/GEMINI_TO_CLAUDE_DELTA_REPORT.md","??","W01_KNOWN_DIRTY","5129","2026-05-16T15:36:09.1868914-03:00","542342cbe84463cfe958ba29c8999e5a7d2f3883a9b5a35179a201faebed6c0a","NO","NO","KNOWN_PREEXISTING_UNTOUCHED","Leave dirty artifact untouched; document only."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260516/index/CLAUDE_STRATEGY_INTAKE_AUDIT_REPORT.md","??","W01_KNOWN_DIRTY","5654","2026-05-16T15:37:20.2918724-03:00","c86161b4edf15e49aac2a3193980ea3364c73507b5e659fe0688be4353d74c23","NO","NO","KNOWN_PREEXISTING_UNTOUCHED","Leave dirty artifact untouched; document only."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260518/","??","STRATEGY_RESEARCH_INTAKE_20260518","","2026-05-18T10:25:35.4165291-03:00","","NO","NO","KNOWN_EXTERNAL_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Directory marker; contents fingerprinted below; leave untracked and untouched."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260518/.gitignore","??","STRATEGY_RESEARCH_INTAKE_20260518","127","2026-05-18T10:29:41.3394484-03:00","9cd4ebf75d264b5ef5ba7d4a0eff66e5b989ea5e39687c56cd1f971b2d7490e5","NO","YES","LOCAL_GITIGNORE_GUARD_CREATED","Stage explicit guard only; keep copied intake contents local and untracked."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260518/ESTRATEGIAS_POSIBLES/EURUSD 07_00-19_00 NY Strategy Research Report GPT.pdf","??","STRATEGY_RESEARCH_INTAKE_20260518","287146","2026-05-16T01:21:47.4318604-03:00","d6b8e5f6f949e94bb6209356fdfb5fb0407f0dc4c58c5e501c4d638bfc51eb4d","NO","NO","KNOWN_EXTERNAL_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260518/ESTRATEGIAS_POSIBLES/EURUSD 07_00-19_00 NY Strategy Research Report.pdf","??","STRATEGY_RESEARCH_INTAKE_20260518","864446","2026-05-16T00:43:50.9321953-03:00","0a8078bc1cfb17b34d39a4faafeefd9d3721010085a8fe420e0996a6dbd01147","NO","NO","KNOWN_EXTERNAL_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260518/ESTRATEGIAS_POSIBLES/EURUSD_Strategy_Research_Report.md","??","STRATEGY_RESEARCH_INTAKE_20260518","175924","2026-05-16T01:26:18.2934201-03:00","7adea5d4ced5dc31b27437daa2f8a8a7ee7d3ad64e51abc2ea002461e0bc014c","NO","NO","KNOWN_EXTERNAL_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260518/ESTRATEGIAS_POSIBLES/grok_report 2.pdf","??","STRATEGY_RESEARCH_INTAKE_20260518","3931536","2026-05-16T00:54:48.9279409-03:00","e4cc83993c6e952ca552562ca20fec84a47ec8498413ee5b8b7bcf75e937bf92","NO","NO","KNOWN_EXTERNAL_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260518/ESTRATEGIAS_POSIBLES/grok_report.pdf","??","STRATEGY_RESEARCH_INTAKE_20260518","4173452","2026-05-16T00:48:57.5673743-03:00","53322dbf42f78a71fabfd8f73dadd94344ea478c208730cb97795a30e661e6b0","NO","NO","KNOWN_EXTERNAL_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/strategy_research_intake/external_research_20260518/ESTRATEGIAS_POSIBLES/Investigación Estrategias Algorítmicas EURUSD.pdf","??","STRATEGY_RESEARCH_INTAKE_20260518","443651","2026-05-16T00:48:12.4647824-03:00","55f57c4fa71a3b92c8bbb6259e24cadd5de41a88456265dae8ea1cf586098f81","NO","NO","KNOWN_EXTERNAL_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
