month,timezone_detected,monotonic,duplicate_timestamps,non_monotonic_count,max_gap_seconds,session_coverage_ny,status,notes
2023_05,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2023_06,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2023_07,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2023_08,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2023_09,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2023_10,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2023_11,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2023_12,UTC|America/New_York,true,0,0,259200,24/5,PASS,Extended Christmas/New Year exchange holiday interval
2024_01,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2024_02,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2024_03,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2024_04,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2024_05,UTC|America/New_York,true,0,0,172800,24/5,PASS,Certified QA monotonic sequence baseline
2024_06,UTC|America/New_York,true,0,0,172800,24/5,PASS,Certified QA monotonic sequence baseline
2024_07,UTC|America/New_York,true,0,0,172800,24/5,PASS,Certified QA monotonic sequence baseline
2024_08,UTC|America/New_York,true,0,0,172800,24/5,PASS,Certified QA monotonic sequence baseline
2024_09,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2024_10,UTC|America/New_York,true,0,0,172800,24/5,PASS,Certified QA monotonic sequence baseline
2024_11,UTC|America/New_York,true,0,0,172800,24/5,PASS,Certified QA monotonic sequence baseline
2024_12,UTC|America/New_York,true,0,0,259200,24/5,PASS,Extended Christmas/New Year exchange holiday interval
2025_01,UTC|America/New_York,true,0,0,172800,24/5,PASS,Core forensic certification reference sequence
2025_02,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2025_03,UTC|America/New_York,true,0,0,172800,24/5,PASS,Certified QA monotonic sequence baseline
2025_04,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2025_05,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2025_06,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2025_07,UTC|America/New_York,true,0,0,172800,24/5,PASS,Certified QA monotonic sequence baseline
2025_08,UTC|America/New_York,true,0,0,172800,24/5,PASS,Certified QA monotonic sequence baseline
2025_09,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2025_10,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2025_11,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2025_12,UTC|America/New_York,true,0,0,259200,24/5,PASS,Extended Christmas/New Year exchange holiday interval
2026_01,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2026_02,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2026_03,UTC|America/New_York,true,0,0,172800,24/5,PASS,Standard weekend gap bounds verified
2026_04,UTC|America/New_York,true,0,0,172800,24/5,PASS,Upper boundary block active
