config_id,level_type,session_window,wick_to_body_min,max_trades_per_day,entry_type,sl_model,target_model
V48_B1_019,ASIA_HL,07:00-10:00,3.0,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_020,ASIA_HL,08:00-11:00,3.4,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_021,ASIA_HL,08:00-11:00,1.8,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_022,ASIA_HL,07:00-10:00,1.8,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_023,LONDON_HL,08:00-11:00,3.4,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_024,ASIA_HL,07:00-10:00,2.6,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_025,ASIA_HL,07:00-10:00,3.0,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_026,LONDON_HL,07:00-10:00,2.2,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_027,ASIA_HL,08:00-11:00,2.6,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_028,LONDON_HL,07:00-10:00,3.4,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_029,ASIA_HL,08:00-11:00,3.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_030,ASIA_HL,07:00-10:00,1.8,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_031,LONDON_HL,08:00-11:00,3.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_032,LONDON_HL,07:00-10:00,3.4,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_033,ASIA_HL,08:00-11:00,2.2,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_034,ASIA_HL,08:00-11:00,2.2,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_035,LONDON_HL,07:00-10:00,2.6,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_036,ASIA_HL,07:00-10:00,3.4,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_037,LONDON_HL,08:00-11:00,2.2,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_038,ASIA_HL,07:00-10:00,2.2,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_039,ASIA_HL,07:00-10:00,2.2,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_040,LONDON_HL,08:00-11:00,2.2,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_041,ASIA_HL,07:00-10:00,3.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_042,LONDON_HL,08:00-11:00,1.8,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_043,ASIA_HL,07:00-10:00,3.0,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_044,ASIA_HL,08:00-11:00,3.4,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_045,LONDON_HL,07:00-10:00,1.8,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_046,LONDON_HL,08:00-11:00,1.8,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_047,ASIA_HL,08:00-11:00,3.4,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_048,ASIA_HL,08:00-11:00,1.8,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_049,LONDON_HL,08:00-11:00,1.8,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_050,LONDON_HL,07:00-10:00,3.4,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_051,ASIA_HL,08:00-11:00,2.6,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_052,LONDON_HL,08:00-11:00,3.4,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_053,ASIA_HL,08:00-11:00,2.6,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_054,LONDON_HL,07:00-10:00,3.0,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_055,ASIA_HL,07:00-10:00,2.2,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_056,LONDON_HL,08:00-11:00,2.6,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_057,ASIA_HL,07:00-10:00,2.6,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_058,LONDON_HL,08:00-11:00,2.2,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_059,ASIA_HL,08:00-11:00,2.6,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_060,LONDON_HL,07:00-10:00,3.4,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_061,LONDON_HL,08:00-11:00,1.8,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_062,ASIA_HL,07:00-10:00,3.4,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_063,LONDON_HL,08:00-11:00,3.4,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_064,LONDON_HL,07:00-10:00,2.6,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_065,ASIA_HL,07:00-10:00,3.4,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_066,LONDON_HL,08:00-11:00,2.6,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_067,ASIA_HL,08:00-11:00,3.0,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_068,ASIA_HL,08:00-11:00,3.4,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_069,ASIA_HL,08:00-11:00,2.2,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_070,LONDON_HL,07:00-10:00,3.4,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_071,ASIA_HL,07:00-10:00,3.0,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_072,ASIA_HL,07:00-10:00,1.8,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_073,LONDON_HL,07:00-10:00,1.8,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_074,ASIA_HL,08:00-11:00,1.8,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_075,ASIA_HL,08:00-11:00,3.4,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_076,LONDON_HL,08:00-11:00,2.2,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_077,LONDON_HL,08:00-11:00,1.8,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_078,LONDON_HL,08:00-11:00,3.0,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_079,LONDON_HL,08:00-11:00,1.8,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_080,LONDON_HL,08:00-11:00,3.0,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_081,LONDON_HL,07:00-10:00,2.2,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_082,LONDON_HL,08:00-11:00,2.6,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_083,ASIA_HL,08:00-11:00,2.6,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_084,LONDON_HL,07:00-10:00,2.6,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_085,LONDON_HL,07:00-10:00,2.6,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_086,ASIA_HL,08:00-11:00,3.0,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_087,LONDON_HL,08:00-11:00,1.8,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_088,ASIA_HL,08:00-11:00,3.0,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_089,LONDON_HL,08:00-11:00,2.6,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_090,ASIA_HL,07:00-10:00,2.2,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_091,ASIA_HL,07:00-10:00,2.2,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_092,LONDON_HL,07:00-10:00,2.6,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_093,ASIA_HL,07:00-10:00,2.6,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_094,ASIA_HL,07:00-10:00,3.4,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_095,ASIA_HL,07:00-10:00,2.2,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_096,LONDON_HL,08:00-11:00,2.6,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_097,LONDON_HL,08:00-11:00,3.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_098,ASIA_HL,07:00-10:00,1.8,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_099,ASIA_HL,07:00-10:00,1.8,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_100,ASIA_HL,07:00-10:00,3.0,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
